,meanTumor,meanControl,log2FC,pvalue
A1BG,1.7254017017991146,1.8486634274780278,-0.12326172567891325,0.19797986043357174
A1BG-AS1,1.0763246394675074,0.9798629222859623,0.09646171718154517,0.35621030110973784
A1CF,0.24287518502461392,0.5495235668218059,-0.306648381797192,0.16738390276237827
A2M,0.2766118589621711,0.11661469694352034,0.15999716201865077,0.04892422042544164
A2M-AS1,1.4952573247974257,0.7927601363607042,0.7024971884367215,0.01668189034367171
A2ML1,0.20138276033809624,0.15614639885626352,0.045236361481832715,0.36555658556926507
A2MP1,0.025206785096314816,0.0,0.025206785096314816,4.597679757756819e-06
A3GALT2,0.20138276033809624,0.12981574532516113,0.07156701501293511,0.04560443264569104
A4GALT,2.7801126932325455,4.176165419420526,-1.3960527261879805,0.010592036199068013
A4GNT,1.196925975025,1.084511013736796,0.11241496128820416,0.4454261022229671
AA06,0.0,0.0,0.0,1.0
AAAS,6.162987482753714,6.585879521124006,-0.42289203837029277,0.04060482169210765
AACS,6.203656123568923,5.8335013496533685,0.3701547739155542,0.017266444769225887
AACSP1,0.9823884520540307,1.1070956554037337,-0.12470720334970298,0.24389588857008643
AADAC,0.0,0.0,0.0,1.0
AADACL2,0.0,0.0,0.0,1.0
AADACL2-AS1,0.8465357141243692,0.4950212258071444,0.3515144883172248,0.07195111191285183
AADACL3,0.0,0.0,0.0,1.0
AADACL4,0.012576368007573339,0.015328073683886364,-0.002751705676313025,0.9023334188563273
AADACP1,0.0,0.0,0.0,1.0
AADAT,4.810275064009863,4.186602972405764,0.6236720916040994,0.049006671198039975
AAED1,4.492314918225359,4.361193544534507,0.13112137369085186,0.3314480241990312
AAGAB,7.109574307701294,7.017734904933246,0.09183940276804847,0.10102463706458985
AAK1,6.631192461606881,6.492877964990085,0.13831449661679596,0.1819691335524551
AAMDC,3.4422519924171064,3.188804836461583,0.2534471559555236,0.0407587105290235
AAMP,6.667535253947438,6.961110501016687,-0.2935752470692492,0.19777867787533496
AANAT,0.9300634695892631,1.4712111417423457,-0.5411476721530826,0.029955165883347967
AAR2,5.871271978262946,5.876667652348462,-0.005395674085515445,0.9679628317245225
AARD,0.06182297597493866,0.07401549399774067,-0.01219251802280201,0.7894791071851055
AARS,8.282744074462219,8.574851858465845,-0.29210778400362614,0.0504053734863681
AARS2,4.590799130252321,4.7698769713903335,-0.17907784113801295,0.17711361131697356
AARSD1,0.0,0.0,0.0,1.0
AASDH,4.2714899616190465,4.132816645102284,0.13867331651676285,0.23256900350719226
AASDHPPT,6.120236256048495,5.671601256078508,0.448634999969987,0.1279639990217951
AASS,0.5611223108706762,0.15722846471582283,0.40389384615485335,0.007402092348091042
AATBC,0.29940206422797544,1.0402712177892073,-0.7408691535612318,0.06053342347886825
AATF,7.816561226864602,7.70417170536563,0.1123895214989723,0.18143459701010475
AATK,0.5909826701446241,0.7855208558585405,-0.19453818571391635,0.24431118606162705
ABALON,0.0,0.0,0.0,1.0
ABAT,1.252626798194941,0.9743856042027126,0.27824119399222846,0.015940641646954478
ABCA1,5.579716941196642,3.2501222054854693,2.3295947357111726,0.0032814119425000087
ABCA10,0.34750479102802767,0.4492165898568025,-0.10171179882877485,0.27155690755309586
ABCA11P,2.160883775911829,1.6200239960487526,0.5408597798630765,0.03416170552185412
ABCA12,3.0147381291916817,2.3745022486726635,0.6402358805190183,0.006656951967015104
ABCA13,1.2012308412607455,1.0571921671529632,0.14403867410778237,0.6729855707220015
ABCA17P,0.5878638153110569,0.7410887476917599,-0.153224932380703,0.4236886940326168
ABCA2,5.516276965267533,6.161646483650353,-0.6453695183828199,0.021858334311355976
ABCA3,5.8033732756965835,6.393382666056202,-0.5900093903596186,0.045811852344427015
ABCA4,0.20108529237295375,0.6914083239733266,-0.4903230316003729,0.024915658209253573
ABCA5,3.8081482278629184,3.2724387320178154,0.535709495845103,0.15393935688090535
ABCA6,0.1217050386833385,0.05967341717388483,0.06203162150945367,0.24848607635656017
ABCA7,4.0521369941434315,4.691840307783021,-0.6397033136395898,0.03816139071026336
ABCA8,0.5171050033319068,0.22021596024270862,0.29688904308919817,0.07312184910782951
ABCA9,0.265863469468653,0.21053775807671815,0.05532571139193487,0.2291324833912398
ABCA9-AS1,0.0,0.0,0.0,1.0
ABCB1,0.190304214310637,0.381017478545178,-0.190713264234541,0.0628479061319027
ABCB10,5.692529709640237,5.537068182376963,0.15546152726327378,0.31445717747755486
ABCB11,0.0621837750417784,0.07337477842558666,-0.011191003383808268,0.5916008895897265
ABCB4,0.26621145305410543,0.27297327456999765,-0.006761821515892219,0.8951669278334022
