,A549_KO1,A549_KO2,A549_KO3,A549_WT1,A549_WT2,A549_WT3
A1BG,1.7813957376331526,1.6694076659650767,1.7923112623085153,1.8814979497606346,1.8158289051954208,1.984646558047226
A1BG-AS1,1.1382438640510666,1.014405414883948,1.10495554350911,0.927530116563921,1.0321957280080036,0.9473412504552551
A1CF,0.1681871533714397,0.31756321667778814,0.2604048687705511,0.4261310935823375,0.6729160400612743,0.6427543855928719
A2M,0.25616566408271896,0.2970580538416232,0.2604048687705511,0.1471542436118423,0.08607515027519837,0.20303968708009468
A2M-AS1,1.4116348002064694,1.578879849388382,1.45647337819784,0.7546746286104135,0.8308456441109949,0.8296015995840432
A2ML1,0.21284694365255194,0.18991857702364054,0.1002142718446054,0.11889972564240299,0.19339307207012404,0.09053669387785568
A2MP1,0.025260834177482955,0.025152736015146678,0.025713701554296208,0.0,0.0,0.0
A3GALT2,0.21284694365255194,0.18991857702364054,0.124216712644909,0.11889972564240299,0.14073176500791929,0.2820095920657412
A4GALT,2.910328297644528,2.649897088820563,2.863170180190617,4.112761442325832,4.23956939651522,4.066931117648954
A4GNT,1.12661979323939,1.2672321568106104,1.264648597277078,1.18086016652975,0.9881618609438418,1.0710937220901728
AA06,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,6.2246023797242875,6.101372585783141,6.1425930361164935,6.523167579006909,6.648591463241104,6.577662803303619
AACS,6.252612736153512,6.154699510984332,6.182790120815936,5.839133250015644,5.827869449291093,5.7963985713215935
AACSP1,0.9131734116495083,1.0516034924585531,1.055882710023823,1.1392660040861726,1.074925306721295,0.8642332972682316
AADAC,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.7560693469376863,0.937002081311052,0.7666743630699945,0.5370559547846373,0.45298649682965153,0.5606682083771544
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.025152736015146678,0.0,0.030656147367772727,0.0,0.03081452416109758
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,4.7001115590555465,4.920438568964179,4.821733674952182,4.278389349013319,4.094816595798208,4.165683527245274
AAED1,4.400463810276362,4.584166026174357,4.478458440323333,4.408097157962044,4.314289931106971,4.346496578862142
AAGAB,7.135411208571187,7.0837374068314,7.0813412393078385,7.035998487799767,6.999471322066723,6.98121568862903
AAK1,6.566455957430097,6.695928965783666,6.63130987566171,6.516075768397121,6.4696801615830495,6.519439065051672
AAMDC,3.4591213610630684,3.425382623771144,3.6428450060665463,3.2388329560841895,3.1387767168389766,3.1954330363783905
AAMP,6.808245105842113,6.526825402052762,6.690280949076656,6.897327274986043,7.024893727047333,6.883040857798685
AANAT,1.0049176424063835,0.8552092967721427,0.978994280024023,1.5310396968978555,1.411382586586836,1.5033704245699901
AAR2,5.9366559091814635,5.805888047344429,5.890432125249578,5.777204606339256,5.976130698357667,5.84163611999331
AARD,0.09849321593473065,0.025152736015146678,0.07580573115563385,0.09008078356375167,0.05795020443172968,0.03081452416109758
AARS,8.336059873000634,8.229428275923805,8.275476641637676,8.532344581625567,8.61735913530612,8.537660435720587
AARS2,4.63493870669806,4.546659553806581,4.663868547553042,4.694399566955992,4.845354375824674,4.715915916825307
AARSD1,0.0,0.0,0.0,0.0,0.0,0.0
AASDH,4.271815663290973,4.271164259947119,4.138850796729266,4.2147352005046415,4.050898089699926,4.076193201073254
AASDHPPT,5.995356315973481,6.245116196123507,6.022813071686265,5.798515424753204,5.544687087403811,5.858912039493732
AASS,0.5276625467491916,0.5945820749921609,0.5709927248961442,0.1471542436118423,0.16730268581980337,0.11949555476533494
AATBC,0.14532789638456917,0.45347623207138177,0.6224571083249455,1.1532643926501427,0.9272780429282717,1.0858422496757747
AATF,7.806696507590581,7.826425946138622,7.773548597160962,7.649283523475462,7.759059887255798,7.6687485898747925
AATK,0.7100774682489738,0.4718878720402746,0.7043503242986441,0.790942325978896,0.780099385738185,0.6226665366704611
ABALON,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,1.2170910383275615,1.2881625580623206,1.2207968295526117,0.975591120629801,0.973180087775624,0.8296015995840432
ABCA1,5.466724647629572,5.6927092347637105,5.694447188085188,3.3217395345571727,3.178504876413766,3.3591792987278524
ABCA10,0.2982215130128049,0.3967880690432504,0.3848386943094906,0.402884680541802,0.49554849917180305,0.6226665366704611
ABCA11P,2.1462482589262186,2.17551929289744,2.052086732036161,1.7215894778491163,1.5184585142483886,1.5990041053553012
ABCA12,2.97657734217211,3.0528989162112534,3.0056545740180556,2.410556974197166,2.3384475231481603,2.3752382452221563
ABCA13,0.966310805499202,1.436150877022289,0.6721486925617048,1.2345169257971484,0.8798674085087776,0.6226665366704611
ABCA17P,0.7409010481788952,0.4348265824432187,0.4432494140746405,0.7546746286104135,0.7275028667731064,0.881242305730712
ABCA2,5.594577206292876,5.43797672424219,5.590596704599124,6.104370394072817,6.218922573227888,6.229352931715108
ABCA3,5.90425914257683,5.702487408816337,5.783806480530264,6.310096802425392,6.476668529687013,6.376810698984735
ABCA4,0.23466888509568282,0.16750169965022466,0.3030864894853039,0.6200372484558752,0.7627793994907781,0.6022950336364983
ABCA5,3.641705844767857,3.97459061095798,3.7392468946526503,3.4435050039625934,3.1013724600730375,3.5705507662610954
ABCA6,0.14532789638456917,0.09808218098210783,0.07580573115563385,0.09008078356375167,0.029266050784017995,0.060984621216374005
ABCA7,4.1806058338099765,3.9236681544768874,4.231536033096441,4.699178438703581,4.684502176862461,4.72771890259527
ABCA8,0.4736317419388978,0.5605782647249158,0.4993869810850558,0.1471542436118423,0.2932776768735749,0.09053669387785568
ABCA9,0.23466888509568282,0.2970580538416232,0.23858100476636343,0.20205551977991304,0.21901999637352326,0.060984621216374005
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.1906898515976334,0.18991857702364054,0.124216712644909,0.3308097841662069,0.43122517292414914,0.38099792229881246
ABCB10,5.575999973898774,5.809059445381698,5.590058206229216,5.54409089878712,5.530045465966807,5.59848560315748
ABCB11,0.07449310068387566,0.049874449399681144,0.05097711203864351,0.06067440657597497,0.08607515027519837,0.11949555476533494
ABCB4,0.25616566408271896,0.2762572420254919,0.124216712644909,0.228742059635171,0.31720448950482427,0.20303968708009468
ABCB5,0.21284694365255194,0.23373368468221792,0.28190351344695475,0.3308097841662069,0.2932776768735749,0.14788455158113867
ABCB6,5.782229073651048,5.582123637091671,5.683887552237258,6.110661429904888,6.227628319172909,6.204650226433876
ABCB7,5.489592258831712,5.589519762649264,5.547423685834529,5.411331677901683,5.377672469127834,5.346251253116381
ABCB8,6.052913377873752,5.778877002790476,5.978239477103903,5.935939880411534,6.107995963937744,6.061363216676848
ABCB9,3.438114722217096,3.30987762266905,3.4474103733287786,3.466111052410409,3.6528823481821044,3.4701385625423433
ABCC1,9.02509244335977,8.99100894728508,9.042122812016197,9.145330918596974,9.19356746165557,9.160090379184236
ABCC10,4.487102099626856,4.325326864460764,4.466772922050506,3.9458693732026218,4.147481898869392,4.040676404161421
ABCC11,0.43645323800301855,0.3377810172082963,0.4432494140746405,0.4261310935823375,0.5967642356060869,0.7760435931945867
ABCC12,0.1906898515976334,0.3377810172082963,0.19391718801933186,0.4261310935823375,0.3638995787239471,0.4958854607450943
ABCC13,0.025260834177482955,0.0,0.0,0.0,0.029266050784017995,0.03081452416109758
ABCC2,9.082814437361368,9.197161530546639,9.154057532488407,9.731887309841525,9.67950926776962,9.718619428752127
ABCC3,9.271897487621807,9.23167285569204,9.356445930350786,9.151119276392013,9.112618716286624,9.143829596562412
ABCC4,6.909226046018037,7.0224089060302015,6.96903127128401,7.393993478614664,7.282628832952641,7.3877653203916385
ABCC5,5.320702944468269,5.369659610099022,5.449891955825052,5.107772001157074,5.140124936196504,5.1688727926896
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,2.4789431728524045,2.5054471040799586,2.4535986600658615,1.9790351667936226,2.1178053483984316,1.984646558047226
ABCC6P1,0.6944151503736232,0.5945820749921609,0.8117117804308452,0.5997350839607531,0.6353425330087774,0.4047190151714516
ABCC6P2,0.49186777292690453,0.525753610803655,0.6883393510105924,0.7361930509931691,0.8637111963101571,0.6022950336364983
ABCC8,2.51950727021289,2.5232112911312563,2.70902910227887,2.4954251197046395,2.320803078170106,2.587025742489858
ABCC9,0.3788248905171406,0.3377810172082963,0.28190351344695475,0.4715295043375447,0.40913057205554676,0.4047190151714516
ABCD1,3.0430124656055737,2.810421833917737,2.9663601723144577,3.3794474594787034,3.4075075986684507,3.3742760595047194
ABCD2,0.4174984157962257,0.4159326889134693,0.3848386943094906,0.20205551977991304,0.14073176500791929,0.17572568020479276
ABCD3,6.241541128110301,6.357686454143989,6.195944056590911,6.677945135592237,6.410783658542036,6.666806476678114
ABCD4,5.345358369663578,5.22043989618524,5.351017839302207,4.851829961365017,4.86881670688737,4.808853432359312
ABCE1,7.592223169980726,7.7711647272693645,7.615043961040411,7.573718901230067,7.230624074302686,7.577447499186188
ABCF1,9.826314245559859,9.817776431942864,9.80179132046874,10.122621757781692,10.242421750341531,10.082923248941857
ABCF2,7.64257319760028,7.549369562950913,7.571380027536413,7.554893176647716,7.689153598470353,7.593178797533602
ABCF3,5.366514337526779,5.186004078518676,5.2972692950053535,5.355667026492568,5.509424116180991,5.3105951951189825
ABCG1,1.2602843977234062,1.2135378243228825,1.5029836812875472,1.8301395884686764,1.7293092033450592,1.4587429869495852
ABCG2,5.695391606331191,5.734293093224726,5.636692991073579,7.32436441322722,7.295671646760289,7.358077335666934
ABCG4,0.6625709913957333,0.6920339665762265,0.8696547263050816,0.7361930509931691,0.5368907476532048,0.5606682083771544
ABCG5,0.07449310068387566,0.09808218098210783,0.0,0.06067440657597497,0.08607515027519837,0.060984621216374005
ABCG8,0.07449310068387566,0.09808218098210783,0.07580573115563385,0.030656147367772727,0.05795020443172968,0.060984621216374005
ABHD1,1.3629277905914017,1.0997544355261692,1.5391416300726555,1.2212886615514988,1.3196045456879075,1.1986979417373016
ABHD10,5.31110675055319,5.50320450308454,5.324717569957307,5.2300372415436716,5.16505983065177,5.259473510873602
ABHD11,4.002862649632921,3.821485775732776,3.8990759319474453,4.063577763371443,4.07390249218104,4.050108030755356
ABHD11-AS1,0.4736317419388978,0.3377810172082963,0.5709927248961442,0.4490088649952437,0.40913057205554676,0.4047190151714516
ABHD12,7.132871447766073,6.930546236453798,7.06922108749927,7.049393726983812,7.122539355971259,7.053103055080613
ABHD12B,1.477174867722949,1.6533649742278902,1.5391416300726555,1.0964369545332198,0.9580411012565336,1.0259213323095175
ABHD13,4.552634210139268,4.877924736571781,4.56430418482318,4.3606242031559015,3.9492965682054155,4.331104737947437
ABHD14A,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14A-ACY1,0.14532789638456917,0.2762572420254919,0.3239629329446976,0.2806783690700692,0.2932776768735749,0.35688027291987945
ABHD14B,4.938158472035699,4.795353885547511,4.967336862951186,4.9986129590635775,5.210482423099231,5.066633328674869
ABHD15,5.486753551374851,5.440316047980849,5.537961924325456,5.718394773794617,5.848540285157613,5.78571114439762
ABHD16A,7.173510338532957,6.992233983223951,7.16054708642768,7.043768777862897,7.211401853190424,7.122919107141978
ABHD16B,1.8607189809370572,1.7843577997680113,2.033195400675213,2.314165741798407,2.619108046929933,2.485014807357492
ABHD17A,5.002375060031135,4.734702381675723,4.925263174554617,5.268325361676906,5.348218391811973,5.343952528329141
ABHD17B,4.947273155960332,5.147150463862522,4.962352329300266,4.8889039663732605,4.641321874934609,4.860156778653384
ABHD17C,4.919754508874323,4.914561519853179,4.920130872563551,5.0896879198812455,4.937962485635228,5.120450358037702
ABHD18,3.9884853156720035,4.031555315535042,4.13146830253044,3.9913863853587292,3.9907996822068594,3.93874884666229
ABHD2,8.179533821932718,8.211735520361817,8.212147621707917,8.650551455345788,8.657815416605146,8.662742008575448
ABHD3,4.734022107100436,4.997123751252176,4.973956231204026,5.271537486573914,5.2889556454262765,5.350837743733711
ABHD4,7.064456385298154,6.978416415126854,7.063607562054342,6.757419119968536,6.8485922221617646,6.792380262810761
ABHD5,4.695201466879144,4.872737851139469,4.74544299464947,4.362131623463354,4.2597734163515515,4.431226204020161
ABHD6,3.9772030391967257,3.7832957868913493,3.8727520944482188,4.599179422928479,4.5980304723813425,4.571441230070699
ABHD8,3.294866125379793,3.0650772571621347,3.3941153817687746,3.612618943358421,3.7059542465028805,3.78681806800282
ABI1,6.59467914671757,6.7175478416497985,6.632094786941884,6.440320184998089,6.332236600368288,6.452378550691065
ABI2,6.507176975249889,6.65974730593537,6.585038476103312,6.741291610516305,6.624822306296041,6.682052838481741
ABI3,0.07449310068387566,0.0,0.07580573115563385,0.06067440657597497,0.029266050784017995,0.060984621216374005
ABI3BP,2.208221143657049,2.527618369900282,2.255943127440284,0.659804070813201,0.7452489524150381,0.5393955512402933
ABL1,7.660443756802044,7.546522233629752,7.600546540251991,7.349090157199935,7.461350259749716,7.4040392974220195
ABL2,6.640609611147892,6.713685110770616,6.666725632078048,6.356589028750006,6.296197977472184,6.420735451702765
ABLIM1,6.684131884056869,6.726201356941068,6.671314841053209,7.583444357574849,7.523891133243041,7.588008027623719
ABLIM2,1.6413794885106856,1.59576760975889,1.5917341626979105,1.7678151937647697,1.5987417932314698,1.688690587350793
ABLIM3,5.673089977740827,5.68138178794094,5.673250056143692,3.9276599861207155,3.91638772631039,3.9629178416756106
ABO,0.0,0.0,0.0,0.0,0.0,0.0
ABR,8.00482828965612,7.909187048196781,7.97475543149271,8.164710140848305,8.274459988037929,8.184240457060021
ABRA,0.0,0.0,0.025713701554296208,0.030656147367772727,0.05795020443172968,0.0
ABRACL,4.83390161175108,4.947004331906756,4.7986146614854714,4.611906596155981,4.506043533793508,4.614035185594508
ABRAXAS1,4.223525198511288,4.476588227255148,4.322519796251115,3.7548210280981746,3.621998390474195,3.6717771465921345
ABRAXAS2,5.394652088209547,5.440900286707649,5.3305320112924095,5.050022112482714,4.936997664220551,5.1293761848613855
ABT1,4.658337902805299,4.484544126419861,4.5174957861767995,4.604283773300523,4.681048817203702,4.644241351631545
ABTB1,3.3805540453909226,3.1098517830391454,3.3717324366846446,3.865246558760054,3.951209202361434,3.9748521799494174
ABTB2,5.9203380854760965,5.79633180837326,5.856803488463694,5.9288368986161055,6.118246674990489,6.0425859309301035
ACAA1,5.3578405956811315,5.131311219506048,5.267942608443513,5.370722191882684,5.537703109243811,5.380299708059108
ACAA2,6.367251246661651,6.259760070182437,6.3124932467161345,6.209014018065589,6.296197977472184,6.230597771779022
ACACA,7.755963172185061,7.79375256918556,7.843669102005885,8.100346965819897,8.160667003129632,8.10206372858464
ACACB,5.281929141017082,5.2101951800834705,5.325364777425642,5.237448098904825,5.315925528152013,5.289248724150511
ACAD10,4.924797099770616,4.889955436962201,4.988739691354803,5.098758295670153,5.073202261106999,5.192061940520383
ACAD11,0.0,0.0,0.0,0.0,0.0,0.0
ACAD8,4.21805843660985,4.2230636833461395,4.258896699318765,3.8110900477013097,3.9006375712974455,3.7339594874718487
ACAD9,5.313671983186958,5.240042410631563,5.259162576151088,5.052825164170814,5.059082283402861,4.983423121910615
ACADL,0.1681871533714397,0.12159512776707081,0.147826345774065,0.25494391192204036,0.268947341017015,0.11949555476533494
ACADM,5.455153465183985,5.610964248059804,5.4475157870497775,5.2993426389426235,5.161759973164342,5.224912749642408
ACADS,3.6879169631579316,3.2228718739799755,3.5010997587758164,3.865246558760054,3.9473813950331413,3.8996334285507745
ACADSB,4.983166730258499,5.163525817352783,4.953169047346934,5.072295499883037,5.0349369077362915,5.106957212118284
ACADVL,7.999560475340045,7.819703143394848,7.959201855534074,7.953709939385162,8.0410580691699,7.943335936144198
ACAN,0.14532789638456917,0.18991857702364054,0.17105582133483666,0.06067440657597497,0.05795020443172968,0.09053669387785568
ACAP1,1.9425520914483503,2.0463374603112934,2.089143092226263,2.1632437600545025,2.0044821586136776,2.2234488837067032
ACAP2,5.718806053331123,5.955673419372186,5.738361363410271,5.445861977567244,5.334362328286824,5.50898520810194
ACAP3,4.858705814167241,4.671388736372676,4.8480956690424835,4.934198988410727,4.936032197136952,4.950561220495055
ACAT1,6.080288277192018,6.052894394585668,6.088337434708389,6.260036305568435,6.2730645916075405,6.237631648237416
ACAT2,5.17312901821789,5.0516933873962975,5.051106567815276,5.601375028435136,5.6857677493646825,5.588163639182807
ACBD3,5.863697555167838,6.197162041965192,5.918155392556,5.5070977661551215,5.291222492738744,5.456044521610986
ACBD3-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ACBD4,4.1464782578499095,3.9136011469211467,4.089413333405888,4.560310049746633,4.618635599785734,4.575365792579186
ACBD5,6.103081243650118,6.33523577153193,6.096701772586519,6.58514964753121,6.478659004415924,6.617223595184372
ACBD6,5.961814221051681,5.810868547671757,5.836969884925234,5.792937763513773,5.827869449291093,5.76695849622619
ACBD7,0.0,0.0,0.0,0.0,0.0,0.0
ACBD7-DCLRE1CP1,0.09849321593473065,0.025152736015146678,0.025713701554296208,0.06067440657597497,0.08607515027519837,0.03081452416109758
ACCS,4.782975966297769,4.844755039678873,4.927822495050943,5.007309377515761,4.876888891975185,4.963596316793006
