"","chromosome_name","start_position","end_position","hgnc_symbol"
"1","19",58345178,58353492,"A1BG"
"2","19",58347718,58355455,"A1BG-AS1"
"3","10",50799409,50885675,"A1CF"
"4","12",9067664,9116229,"A2M"
"5","12",9065163,9068689,"A2M-AS1"
"6","12",8822621,8887001,"A2ML1"
"7","12",9229376,9275817,"A2MP1"
"8","1",33306766,33321098,"A3GALT2"
"9","22",42692121,42721298,"A4GALT"
"10","3",138123713,138132390,"A4GNT"
"11","12",53307456,53324864,"AAAS"
"12","12",125065434,125143333,"AACS"
"13","5",178767204,178797611,"AACSP1"
"14","5",178764861,178818435,"AACSP1"
"15","3",151814073,151828488,"AADAC"
"16","CHR_HSCHR3_1_CTG2_1",151744454,151770036,"AADACL2"
"17","3",151733916,151761339,"AADACL2"
"18","CHR_HSCHR3_1_CTG2_1",151761981,151765669,"AADACL2-AS1"
"19","3",151751443,151928175,"AADACL2-AS1"
"20","1",12716110,12728760,"AADACL3"
"21","1",12644085,12667076,"AADACL4"
"22","3",151770474,151784421,"AADACP1"
"23","4",170060222,170091699,"AADAT"
"24","15",67200667,67255195,"AAGAB"
"25","2",69457997,69674349,"AAK1"
"26","11",77821109,77918432,"AAMDC"
"27","2",218264129,218270178,"AAMP"
"28","17",76453351,76470117,"AANAT"
"29","20",36236131,36270918,"AAR2"
"30","8",116938207,116944487,"AARD"
"31","6",44298731,44313347,"AARS2"
"32","17",42950526,42964498,"AARSD1"
"33","4",56338287,56387508,"AASDH"
"34","11",106075501,106098699,"AASDHPPT"
"35","7",122064583,122144308,"AASS"
"36","21",43805758,43812567,"AATBC"
"37","CHR_HSCHR17_7_CTG4",36950708,37058704,"AATF"
"38","17",36948925,37056871,"AATF"
"39","17",81110487,81166221,"AATK"
"40","20",31721507,31723409,"ABALON"
"41","16",8674596,8784575,"ABAT"
"42","9",104781006,104928155,"ABCA1"
"43","17",69147214,69244846,"ABCA10"
"44","4",425435,474129,"ABCA11P"
"45","2",214931542,215138626,"ABCA12"
"46","7",48171458,48647497,"ABCA13"
"47","16",2339150,2426699,"ABCA17P"
"48","9",137007234,137028915,"ABCA2"
"49","16",2275881,2340746,"ABCA3"
"50","1",93992834,94121148,"ABCA4"
"51","17",69244311,69327244,"ABCA5"
"52","17",69078702,69141895,"ABCA6"
"53","19",1039997,1065572,"ABCA7"
"54","17",68867289,68955392,"ABCA8"
"55","17",68974488,69060949,"ABCA9"
"56","17",68944531,69042784,"ABCA9-AS1"
"57","7",87503017,87713323,"ABCB1"
"58","1",229516582,229558707,"ABCB10"
"59","CHR_HSCHR2_1_CTG7_2",168939927,168953422,"ABCB11"
"60","2",168915498,169031324,"ABCB11"
"61","7",87401696,87480435,"ABCB4"
"62","7",20615667,20777038,"ABCB5"
"63","2",219209772,219218994,"ABCB6"
"64","X",75051048,75156732,"ABCB7"
"65","7",151028422,151047782,"ABCB8"
"66","12",122920951,122981649,"ABCB9"
"67","CHR_HSCHR16_1_CTG1",16034690,16228109,"ABCC1"
"68","16",15949138,16143257,"ABCC1"
"69","6",43427366,43450427,"ABCC10"
"70","16",48165773,48247568,"ABCC11"
"71","16",48080882,48156018,"ABCC12"
"72","21",14274092,14362754,"ABCC13"
"73","10",99782640,99852594,"ABCC2"
"74","17",50634777,50692253,"ABCC3"
"75","13",95019835,95301475,"ABCC4"
"76","3",183919934,184017939,"ABCC5"
"77","3",184006338,184011419,"ABCC5-AS1"
